study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07515371	SRX3103521	SRR5944967	1632839	human vaginal metagenome	c8bb563a4c44f5820a4b14bf402a2d68;74beb9155e708d15206bfab7dd4c9a2c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5944967/SRR5944967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5944967/SRR5944967_2.fastq.gz
PRJNA393472	SAMN07515286	SRX3103517	SRR5944971	1632839	human vaginal metagenome	13db0bdf9eb608aa7b02ebbd79845d1d;2df9d4dfd48f0edd9b32c51ce1632c53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944971/SRR5944971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944971/SRR5944971_2.fastq.gz
PRJNA393472	SAMN07515342	SRX3103513	SRR5944975	1632839	human vaginal metagenome	79d2b26f268fddb3348359952241761d;27431c00fccff5eb1b1e1acb4aa46816	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5944975/SRR5944975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5944975/SRR5944975_2.fastq.gz
PRJNA393472	SAMN07515348	SRX3103511	SRR5944977	1632839	human vaginal metagenome	ee4fb53bbd36a83870ecf0ebe517f040;0bac5179544f87dc5efbe1cb910891e1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5944977/SRR5944977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5944977/SRR5944977_2.fastq.gz
PRJNA393472	SAMN07515349	SRX3103508	SRR5944980	1632839	human vaginal metagenome	e6f0be9b9ce2d4400a88a4fa596e01bd;e0d6e99d8a5b0acc6b65d43c35c03418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944980/SRR5944980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944980/SRR5944980_2.fastq.gz
PRJNA393472	SAMN07515350	SRX3103507	SRR5944981	1632839	human vaginal metagenome	98443a6b5d3391d30cf88051d734e7d8;1743e7da950b0c4e3706fa83c8f6817e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944981/SRR5944981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5944981/SRR5944981_2.fastq.gz
PRJNA393472	SAMN07515232	SRX3103500	SRR5944988	1632839	human vaginal metagenome	4484503b253d91bf984c625115109dac;28392dcf3f8140d12cd30a8ac39689c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944988/SRR5944988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944988/SRR5944988_2.fastq.gz
PRJNA393472	SAMN07515231	SRX3103499	SRR5944989	1632839	human vaginal metagenome	c7e0e06bfae49efdfc16ba21445a3a95;07f30b0a17f313773aca0bedc0c7f149	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944989/SRR5944989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944989/SRR5944989_2.fastq.gz
PRJNA393472	SAMN07515358	SRX3103490	SRR5944998	1632839	human vaginal metagenome	86fcbc5b5e42f9f495bc45935448ec54;0ccf4f806cc0a5fa8a3730e22a262079	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944998/SRR5944998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944998/SRR5944998_2.fastq.gz
PRJNA393472	SAMN07515357	SRX3103489	SRR5944999	1632839	human vaginal metagenome	124ad5956b618110bc38ae8f3a8dcd8b;fa1aee2ed07e5a779198b8f7b729866c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944999/SRR5944999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944999/SRR5944999_2.fastq.gz
